Observed,Province,fT,PCR.05.U95,PCR.05.L95,propDel.U95,propDel.L95,PCR.05,propDel,FigA,PCR PfPR 6-59 months,Proportion Population only infected with pfhrp2-deleted mutants,Province,FigB,PCR PfPR 6-59 months,Proportion Population only infected with pfhrp2-deleted mutants,Province
,,,,,,,,,,35.28132789,5.81547307,Kasai,,34.94274708,3.190163885,Kasai
,,,,,,,,,,51.28788279,3.977498739,Kasai-Central,,51.1482802,2.775799048,Kasai-Central
,,,,,,,,,,37.12385176,4.143997392,Kasai-Oriental,,36.07635207,3.44330875,Kasai-Oriental
,,,,,,,,,,25.73252407,5.442734612,Kinshasa,,24.89679263,3.835288497,Kinshasa
,,,,,,,,,,43.49597743,4.300142264,Kongo Central,,43.6953032,3.00041015,Kongo Central
,,,,,,,,,,20.06067898,11.12936882,Kwango,,18.63670094,2.755152701,Kwango
,,,,,,,,,,19.13324846,7.492635491,Kwilu,,18.66377716,4.368196532,Kwilu
,,,,,,,,,,64.31616061,2.832027314,Lomami,,63.88991993,1.951295048,Lomami
,,,,,,,,,,44.8335791,5.053855014,Lualaba,,44.35773044,3.483905778,Lualaba
,,,,,,,,,,44.38437483,5.128162199,Mai-Ndombe,,42.72298006,3.428998315,Mai-Ndombe
,,,,,,,,,,50.48533446,3.929044235,Maniema,,50.52891953,2.729403843,Maniema
,,,,,,,,,,36.26187962,6.790841685,Mongala,,34.98248,3.90277175,Mongala
,,,,,,,,,,12.60038039,25.26752669,North-Kivu,,10.98639276,4.386703935,North-Kivu
